ano;semestre;cod_grupo_preferencia;1_semestre_bruto;2_semestre_bruto;3_semestre_bruto;5_semestre_bruto;6_semestre_bruto;7_semestre_bruto;8_semestre_bruto;9_semestre_bruto;10_semestre_bruto;11_semestre_bruto;12_semestre_bruto
2021;1;118704;5088;5088;5088;5088;5088;5088;5088;0;0;0;0
2021;1;121861;6450;6450;6450;0;0;0;0;0;0;0;0
2021;1;118583;6470,58;6470,58;6470,58;6470,58;6470,58;6470,58;6470,58;0;0;0;0
2021;1;122255;8302,56;8302,56;8302,56;0;0;0;0;0;0;0;0
2021;1;119024;4311,52;4311,52;4311,52;4311,52;4311,52;4311,52;4311,52;0;0;0;0
2021;1;120310;6599,14;6599,14;6599,14;6599,14;6599,14;6599,14;6599,14;0;0;0;0
2021;1;121074;8632,8;8632,8;9150,78;9207,96;9295,62;10265,88;10363,68;10984,5;11089,08;0;0
2021;1;118003;4677,67;4677,67;4677,67;0;0;0;0;0;0;0;0
2021;1;120634;5100;5100;5100;5100;5100;5100;5100;0;0;0;0
2021;1;118450;4841,48;4841,48;4841,48;4841,48;4841,48;4841,48;4841,48;0;0;0;0
2021;1;120828;3468,09;2929,28;2821,96;0;0;0;0;0;0;0;0
2021;1;122240;7332,36;7332,36;7332,36;0;0;0;0;0;0;0;0
2021;1;118592;4446;5038,8;5335,2;0;0;0;0;0;0;0;0
2021;1;118577;5056,29;5056,29;5056,29;5056,29;5056,29;5056,29;5056,29;0;0;0;0
2021;1;120967;6207,11;6389,85;6389,85;6389,85;10787,82;10787,82;10787,82;0;0;0;0
2021;1;121020;4355,33;4355,33;4355,33;6073,1;0;0;0;0;0;0;0
2021;1;120963;4328,58;4328,58;4328,58;4328,58;4328,58;4328,58;4328,58;0;0;0;0
2021;1;117952;8160;8160;8160;8160;8160;8160;8160;8160;8160;0;0
2021;1;121919;9459,36;9365,64;10300,32;10437,48;9893,4;11056,2;9629,4;0;0;0;0
2021;1;120848;9310,74;9310,74;10475,58;9653,64;9653,64;9653,64;9653,64;9653,64;9653,64;0;0
2021;1;120560;7490,64;7396,86;8238,18;7932,48;7840,8;13352,46;10916,4;11958,36;9484,2;0;0
2021;1;120990;4713,43;4713,43;4713,43;4713,43;4713,43;4713,43;4713,43;4713,43;4713,43;0;0
2021;1;121350;5054,4;5054,4;5054,4;4707,14;4707,14;7448,9;7448,9;0;0;0;0
2021;1;119752;9061,92;10194,66;10194,66;10194,66;10194,66;10194,66;7929,18;0;0;0;0
2021;1;120935;12234;12234;12234;12234;12234;12234;12234;12234;12234;0;0
2021;1;119748;10021,86;9928,14;10918,98;10119,3;9781,2;11712,36;14242,8;16677,54;13523,4;0;0
2021;1;120309;6599,14;6599,14;6599,14;6599,14;6599,14;6599,14;6599,14;0;0;0;0
2021;1;119352;9336,66;9336,66;9336,66;9336,66;9336,66;9336,66;9336,66;9336,66;9336,66;0;0
2021;1;121319;15346,86;15346,86;15346,86;15346,86;15346,86;15346,86;15346,86;15346,86;15346,86;0;0
2021;1;120861;8994;8994;8994;8994;8994;8994;8994;8994;8994;0;0
2021;1;121037;3690;3690;3690;3690;3690;3690;3690;0;0;0;0
2021;1;118446;6824,16;6824,16;6824,16;6824,16;6824,16;6824,16;6824,16;6824,16;6824,16;0;0
2021;1;120923;6100,98;6100,98;6100,98;6100,98;6100,98;6100,98;6100,98;0;0;0;0
2021;1;118361;2310;2310;2310;2310;2310;2310;2310;0;0;0;0
2021;1;119985;6360;6360;6360;6360;6360;6360;6360;6360;6360;0;0
