ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
FACULDADE EVANGÉLICA DE CERES;4113;Faculdade ;GO;Ceres;60;0
UNIVERSIDADE PARANAENSE;437;Universidade;PR;Umuarama;65;3
FACULDADE DE SANTA LUZIA;1581;Faculdade ;MG;Santa Luzia;100;0
CENTRO UNIVERSITARIO FILADÉLFIA;430;Centro Universitário;PR;Londrina;50;0
CENTRO UNIVERSITARIO ESTACIO DE SANTA CATARINA - ESTACIO SANTA CATARINA;1510;Centro Universitário;SC;São José;50;0
Faculdade UNIRB - ARAPIRACA;3182;Faculdade ;AL;Arapiraca;100;0
CENTRO UNIVERSITARIO UNISEP;1657;Centro Universitário;PR;Dois Vizinhos;80;1
FACULDADE EDUCACIONAL DE PONTA GROSSA;1774;Faculdade ;PR;Ponta Grossa;73;0
FACULDADES INTEGRADAS DE SERGIPE;14622;Faculdade ;SE;Tobias Barreto;200;0
CENTRO UNIVERSITARIO BARAO DE MAUA;138;Centro Universitário;SP;Ribeirão Preto;60;0
Escola de Ensino Superior do Agreste Paraibano;20322;Faculdade ;PB;Guarabira;50;1
FACULDADE DA AMAZÔNIA;3029;Faculdade ;PA;Ananindeua;100;0
CLARETIANO - CENTRO UNIVERSITARIO;1854;Centro Universitário;SP;Rio Claro;60;0
FACULDADE DE TELÊMACO BORBA;1536;Faculdade ;PR;Telêmaco Borba;50;0
Centro Universitário Aeso -  Barros Melo;4420;Centro Universitário;PE;Olinda;120;0
FACULDADE HORIZONTINA;1780;Faculdade ;RS;Horizontina;35;1
Faculdade Unirb - Barreiras;2444;Faculdade ;BA;Barreiras;100;1
FACULDADE CNEC SANTO ÂNGELO;1231;Faculdade ;RS;Santo Ângelo;40;1
Centro Universitário U:VERSE;2343;Centro Universitário;AC;Rio Branco;50;1
CENTRO UNIVERSITARIO ARTHUR SA EARP NETO;1080;Centro Universitário;RJ;Petrópolis;80;0
Faculdade Anhanguera de Indaiatuba;3937;Faculdade ;SP;Indaiatuba;100;0
FACULDADE DE RONDONÓPOLIS;781;Faculdade ;MT;Rondonópolis;90;1
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA;438;Faculdade ;SP;Ituverava;50;0
FACULDADE UNINASSAU CARUARU;14717;Faculdade ;PE;Caruaru;120;6
Faculdade da Serra Gaúcha de Bento Gonçalves;12523;Faculdade ;RS;Bento Gonçalves;80;0
INSTITUTO DE ENSINO SUPERIOR FRANCISCANO;1931;Faculdade ;MA;Paço do Lumiar;200;3
Faculdade Estácio de Jaraguado Sul;22191;Faculdade ;SC;Jaraguá do Sul;50;2
Faculdade Geraldo Veloso;22252;Faculdade ;PA;Ourilândia do Norte;10;0
CENTRO UNIVERSITARIO FACISA;1334;Centro Universitário;PB;Campina Grande;100;5
Faculdade Assis Gurgacz;1612;Faculdade ;PR;Toledo;290;0
CENTRO UNIVERSITARIO DO SUL DE MINAS;3368;Centro Universitário;MG;Varginha;120;3
FACULDADE ESPECIALIZADA NA AREA DE SAÚDE DO RIO GRANDE DO SUL;11429;Faculdade ;RS;Passo Fundo;100;5
FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE CAJAZEIRAS;1076;Faculdade ;PB;Cajazeiras;50;2
UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;423;Universidade;RS;Erechim;80;0
FACULDADE DO CENTRO LESTE;1409;Faculdade ;ES;Serra;60;1
CENTRO UNIVERSITARIO ASSIS GURGACZ;1336;Centro Universitário;PR;Cascavel;40;0
FACULDADE PARANAENSE;432;Faculdade ;PR;Rolândia;100;0
CENTRO UNIVERSITARIO VALE DO SALGADO;2043;Centro Universitário;CE;Icó;70;2
FACULDADE ANHANGUERA DE LIMEIRA;3936;Faculdade ;SP;Limeira;120;0
FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANA;2582;Faculdade ;PR;Pitanga;100;0
INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHAO;2724;Faculdade ;MA;Imperatriz;100;0
UNIVERSIDADE IGUAÇU;330;Universidade;RJ;Nova Iguaçu;45;0
FACULDADE DE CIÊNCIAS DO TOCANTINS;14947;Faculdade ;TO;Araguaína;60;6
CENTRO UNIVERSITARIO UNA DE BOM DESPACHO;15452;Centro Universitário;MG;Bom Despacho;120;0
FAI - CENTRO DE ENSINO SUPERIOR EM GESTAO, TECNOLOGIA E EDUCAÇAO;166;Faculdade ;MG;Santa Rita do Sapucaí;120;0
FACULDADE ZACARIAS DE GÓES;2568;Faculdade ;BA;Valença;100;3
Centro Universitário de Adamantina;1292;Centro Universitário;SP;Adamantina;50;0
INSTITUTO DE EDUCAÇAO SUPERIOR RAIMUNDO SA;3930;Faculdade ;PI;Picos;80;1
